         637770 function calls (617981 primitive calls) in 0.562 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       98    0.003    0.000    1.296    0.013 __init__.py:1(<module>)
    713/1    0.004    0.000    0.563    0.563 {built-in method builtins.exec}
        1    0.000    0.000    0.563    0.563 main.py:1(<module>)
    791/3    0.004    0.000    0.563    0.188 <frozen importlib._bootstrap>:1349(_find_and_load)
    791/3    0.002    0.000    0.563    0.188 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    743/4    0.002    0.000    0.562    0.141 <frozen importlib._bootstrap>:911(_load_unlocked)
   1783/7    0.002    0.000    0.562    0.080 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    644/3    0.001    0.000    0.562    0.187 <frozen importlib._bootstrap_external>:989(exec_module)
        1    0.000    0.000    0.554    0.554 file_handling.py:1(<module>)
   491/59    0.001    0.000    0.283    0.005 {built-in method builtins.__import__}
  875/437    0.001    0.000    0.251    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.240    0.120 session.py:1(<module>)
        8    0.000    0.000    0.202    0.025 api.py:1(<module>)
        4    0.000    0.000    0.140    0.035 client.py:1(<module>)
        3    0.000    0.000    0.095    0.032 generic.py:1(<module>)
      644    0.004    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        3    0.000    0.000    0.094    0.031 waiter.py:1(<module>)
        5    0.000    0.000    0.093    0.019 compat.py:1(<module>)
        2    0.000    0.000    0.091    0.046 service.py:1(<module>)
        2    0.000    0.000    0.091    0.046 __init__.py:86(client)
1806/1788    0.020    0.000    0.088    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.078    0.039 session.py:215(client)
        2    0.000    0.000    0.078    0.039 session.py:832(create_client)
        1    0.000    0.000    0.078    0.078 restdoc.py:1(<module>)
      644    0.011    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        2    0.000    0.000    0.063    0.031 client.py:115(create_client)
      644    0.052    0.000    0.052    0.000 {built-in method marshal.loads}
